,protocol,use_case,testbed,transmitters,project_name,center_freq,rec_length,decimation,sdr,hw_sample_rate,effective_sample_rate,signal_type,date_recorded,time_recorded
0,unknown,ambient,queen_street_supervisor,ambient,LnC,2420000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150946
1,unknown,ambient,queen_street_supervisor,ambient,LnC,2420000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165020
2,unknown,ambient,queen_street_supervisor,ambient,LnC,2426666666.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150933
3,unknown,ambient,queen_street_supervisor,ambient,LnC,2426666666.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165004
4,unknown,ambient,queen_street_supervisor,ambient,LnC,2430000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150948
5,unknown,ambient,queen_street_supervisor,ambient,LnC,2430000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165023
6,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150919
7,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150935
8,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164948
9,unknown,ambient,queen_street_supervisor,ambient,LnC,2433333333.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165007
10,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150902
11,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150922
12,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164932
13,unknown,ambient,queen_street_supervisor,ambient,LnC,2436666666.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164951
14,unknown,ambient,queen_street_supervisor,ambient,LnC,2438333333.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150906
15,unknown,ambient,queen_street_supervisor,ambient,LnC,2438333333.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164935
16,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150909
17,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150924
18,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150938
19,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150950
20,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164818
21,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164938
22,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164954
23,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165010
24,unknown,ambient,queen_street_supervisor,ambient,LnC,2440000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165026
25,unknown,ambient,queen_street_supervisor,ambient,LnC,2441666666.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150913
26,unknown,ambient,queen_street_supervisor,ambient,LnC,2441666666.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164941
27,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,1000000,1,BladeRF,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,150916
28,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150927
29,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,1000000,1,USRPX300,10000000.0,10000000.0,Recorded Baseband-IQ,11-06,164944
30,unknown,ambient,queen_street_supervisor,ambient,LnC,2443333333.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,164958
31,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,2000000,1,BladeRF,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,150930
32,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150941
33,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,2000000,1,USRPX300,20000000.0,20000000.0,Recorded Baseband-IQ,11-06,165001
34,unknown,ambient,queen_street_supervisor,ambient,LnC,2446666666.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165013
35,unknown,ambient,queen_street_supervisor,ambient,LnC,2450000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150953
36,unknown,ambient,queen_street_supervisor,ambient,LnC,2450000000.0,6000000,1,USRPX300,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,165029
37,unknown,ambient,queen_street_supervisor,ambient,LnC,2453333333.0,4000000,1,BladeRF,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,150943
38,unknown,ambient,queen_street_supervisor,ambient,LnC,2453333333.0,4000000,1,USRPX300,40000000.0,40000000.0,Recorded Baseband-IQ,11-06,165017
39,unknown,ambient,queen_street_supervisor,ambient,LnC,2460000000.0,6000000,1,BladeRF,60000000.0,60000000.0,Recorded Baseband-IQ,11-06,150955
